Station,Year,Month,Day,Max Temp (C),Quality
9037,1966,4,24,17,Y
9037,1966,4,25,23.6,Y
9037,1966,4,26,20.4,Y
9037,1966,4,27,21.1,Y
9037,1966,4,28,22.4,Y
9037,1966,4,29,22.2,Y
9037,1966,4,30,21.8,Y
9037,1966,5,1,22.3,Y
9037,1966,5,2,19.5,Y
9037,1966,5,3,16.8,Y
9037,1966,5,4,18.4,Y
9037,1966,5,5,20.8,Y
9037,1966,5,6,19.2,Y
9037,1966,5,7,18.9,Y
9037,1966,5,8,23.3,Y
9037,1966,5,9,22.7,Y
9037,1966,5,10,23.4,Y
9037,1966,5,11,28.1,Y
9037,1966,5,12,26.7,Y
9037,1966,5,13,26.8,Y
9037,1966,5,14,23.9,Y
9037,1966,5,15,23.1,Y
9037,1966,5,16,18.9,Y
9037,1966,5,17,18.9,Y
9037,1966,5,18,21.7,Y
9037,1966,5,19,23.7,Y
9037,1966,5,20,22.8,Y
9037,1966,5,21,23.1,Y
9037,1966,5,22,20.6,Y
9037,1966,5,23,23.3,Y
9037,1966,5,24,24.2,Y
9037,1966,5,25,23.2,Y
9037,1966,5,26,24.6,Y
9037,1966,5,27,24.4,Y
9037,1966,5,28,22.8,Y
9037,1966,5,29,17.5,Y
9037,1966,5,30,14.2,Y
9037,1966,5,31,18.2,Y
9037,1966,6,1,18.8,Y
9037,1966,6,2,20.6,Y
9037,1966,6,3,19.3,Y
9037,1966,6,4,16.2,Y
9037,1966,6,5,17.8,Y
9037,1966,6,6,18.3,Y
9037,1966,6,7,17.2,Y
9037,1966,6,8,17.8,Y
9037,1966,6,9,17.1,Y
9037,1966,6,10,21.4,Y
9037,1966,6,11,21.6,Y
9037,1966,6,12,17.2,Y
9037,1966,6,13,16.8,Y
9037,1966,6,14,17.3,Y
9037,1966,6,15,17.5,Y
9037,1966,6,16,17.5,Y
9037,1966,6,17,15.3,Y
9037,1966,6,18,15.6,Y
9037,1966,6,19,13.1,Y
9037,1966,6,20,17.2,Y
9037,1966,6,21,16.1,Y
9037,1966,6,22,16.5,Y
9037,1966,6,23,18.3,Y
9037,1966,6,24,12.2,Y
9037,1966,6,25,13.3,Y
9037,1966,6,26,15.1,Y
9037,1966,6,27,15,Y
9037,1966,6,28,15.4,Y
9037,1966,6,29,18.2,Y
9037,1966,6,30,20.2,Y
9037,1966,7,1,17.2,Y
9037,1966,7,2,16.2,Y
9037,1966,7,3,16,Y
9037,1966,7,4,17.2,Y
9037,1966,7,5,15.7,Y
9037,1966,7,6,17.5,Y
9037,1966,7,7,17.8,Y
9037,1966,7,8,16.3,Y
9037,1966,7,9,17.3,Y
9037,1966,7,10,19.4,Y
9037,1966,7,11,17.3,Y
9037,1966,7,12,16.2,Y
9037,1966,7,13,13.9,Y
9037,1966,7,14,18.3,Y
9037,1966,7,15,17.8,Y
9037,1966,7,16,16.7,Y
9037,1966,7,17,15.2,Y
9037,1966,7,18,16.7,Y
9037,1966,7,19,16.9,Y
9037,1966,7,20,15.1,Y
9037,1966,7,21,16.8,Y
9037,1966,7,22,15.3,Y
9037,1966,7,23,15.8,Y
9037,1966,7,24,16.6,Y
9037,1966,7,25,17.3,Y
9037,1966,7,26,16.6,Y
9037,1966,7,27,15.8,Y
9037,1966,7,28,17.9,Y
9037,1966,7,29,21.8,Y
9037,1966,7,30,18.6,Y
9037,1966,7,31,15,Y
9037,1966,8,1,15,Y
9037,1966,8,2,15.8,Y
9037,1966,8,3,14.7,Y
