Station,Year,Month,Day,Max Temp (C),Quality
68228,1998,12,29,26,Y
68228,1998,12,30,25,Y
68228,1998,12,31,24,Y
68228,1999,1,1,26,Y
68228,1999,1,2,27,Y
68228,1999,1,3,27,Y
68228,1999,1,4,27,Y
68228,1999,1,5,27,Y
68228,1999,1,6,25,Y
68228,1999,1,7,26,Y
68228,1999,1,8,25,Y
68228,1999,1,9,,
68228,1999,1,10,25,N
68228,1999,1,11,31,Y
68228,1999,1,12,25,Y
68228,1999,1,13,27,Y
68228,1999,1,14,22,Y
68228,1999,1,15,26,Y
68228,1999,1,16,27,Y
68228,1999,1,17,27,Y
68228,1999,1,18,26,Y
68228,1999,1,19,26,Y
68228,1999,1,20,20,Y
68228,1999,1,21,22,Y
68228,1999,1,22,22,Y
68228,1999,1,23,,
68228,1999,1,24,25,N
68228,1999,1,25,,
68228,1999,1,26,25,N
68228,1999,1,27,24,Y
68228,1999,1,28,24,Y
68228,1999,1,29,,
68228,1999,1,30,24,N
68228,1999,1,31,,
68228,1999,2,1,24,N
68228,1999,2,2,25,Y
68228,1999,2,3,25,Y
68228,1999,2,4,25,Y
68228,1999,2,5,25,Y
68228,1999,2,6,29,Y
68228,1999,2,7,28,Y
68228,1999,2,8,22,Y
68228,1999,2,9,24,Y
68228,1999,2,10,25,Y
68228,1999,2,11,26,Y
68228,1999,2,12,26,Y
68228,1999,2,13,25,Y
68228,1999,2,14,26,Y
68228,1999,2,15,27,Y
68228,1999,2,16,,
68228,1999,2,17,27,N
68228,1999,2,18,25,Y
68228,1999,2,19,21,Y
68228,1999,2,20,25,Y
68228,1999,2,21,26,Y
68228,1999,2,22,24,Y
68228,1999,2,23,25,Y
68228,1999,2,24,22,Y
68228,1999,2,25,23,Y
68228,1999,2,26,23,Y
68228,1999,2,27,24,Y
68228,1999,2,28,24,Y
68228,1999,3,1,22,Y
68228,1999,3,2,25,Y
68228,1999,3,3,26,Y
68228,1999,3,4,27,Y
68228,1999,3,5,26,Y
68228,1999,3,6,27,Y
68228,1999,3,7,23,Y
68228,1999,3,8,23,Y
68228,1999,3,9,25,Y
68228,1999,3,10,25,Y
68228,1999,3,11,22,Y
68228,1999,3,12,25,Y
68228,1999,3,13,27,Y
68228,1999,3,14,27,Y
68228,1999,3,15,24,Y
68228,1999,3,16,26,Y
68228,1999,3,17,23,Y
68228,1999,3,18,25,Y
68228,1999,3,19,24,Y
68228,1999,3,20,24,Y
68228,1999,3,21,26,Y
68228,1999,3,22,25,Y
68228,1999,3,23,19,Y
68228,1999,3,24,23,Y
68228,1999,3,25,24,Y
68228,1999,3,26,25,Y
68228,1999,3,27,26,Y
68228,1999,3,28,20,Y
68228,1999,3,29,19,Y
68228,1999,3,30,22,Y
68228,1999,3,31,21,Y
68228,1999,4,1,17,Y
68228,1999,4,2,20,Y
68228,1999,4,3,22,Y
68228,1999,4,4,23,Y
68228,1999,4,5,21,Y
68228,1999,4,6,21,Y
68228,1999,4,7,19,Y
68228,1999,4,8,21,Y
68228,1999,4,9,20,Y
68228,1999,4,10,22,Y
68228,1999,4,11,20,Y
68228,1999,4,12,21,Y
68228,1999,4,13,24,Y
68228,1999,4,14,23,Y
68228,1999,4,15,21,Y
68228,1999,4,16,20,Y
68228,1999,4,17,20,Y
68228,1999,4,18,22,Y
68228,1999,4,19,25,Y
68228,1999,4,20,,
68228,1999,4,21,17,N
68228,1999,4,22,16,Y
68228,1999,4,23,17,Y
68228,1999,4,24,20,Y
68228,1999,4,25,20,Y
68228,1999,4,26,21,Y
68228,1999,4,27,17,Y
68228,1999,4,28,17,Y
68228,1999,4,29,,
68228,1999,4,30,18,N
68228,1999,5,1,17,Y
68228,1999,5,2,,
68228,1999,5,3,19,N
68228,1999,5,4,20,Y
68228,1999,5,5,20,Y
68228,1999,5,6,20,Y
68228,1999,5,7,21,Y
68228,1999,5,8,22,Y
68228,1999,5,9,20,Y
68228,1999,5,10,20,Y
68228,1999,5,11,21,Y
68228,1999,5,12,21,Y
68228,1999,5,13,21,Y
68228,1999,5,14,19,Y
68228,1999,5,15,23,Y
68228,1999,5,16,15,Y
68228,1999,5,17,18,Y
68228,1999,5,18,20,Y
68228,1999,5,19,21,Y
68228,1999,5,20,23,Y
68228,1999,5,21,21,Y
68228,1999,5,22,21,Y
68228,1999,5,23,21,Y
68228,1999,5,24,20,Y
68228,1999,5,25,21,Y
68228,1999,5,26,,
68228,1999,5,27,21,N
68228,1999,5,28,19,Y
68228,1999,5,29,20,Y
68228,1999,5,30,21,Y
68228,1999,5,31,21,Y
68228,1999,6,1,17,Y
68228,1999,6,2,19,Y
68228,1999,6,3,17,Y
68228,1999,6,4,,
68228,1999,6,5,,
68228,1999,6,6,,
68228,1999,6,7,,
68228,1999,6,8,16,N
68228,1999,6,9,16,Y
68228,1999,6,10,21,Y
68228,1999,6,11,15,Y
